Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
io.bootique.jopt.JoptCliFactoryTest::testOptionStrings_Multiple_Mixed()V	1562	0
io.bootique.jopt.JoptCliFactoryTest::testStandaloneArguments_Mix()V	1562	0
io.bootique.jopt.JoptCliFactoryTest::testStandaloneArguments_DashDash()V	1562	0
io.bootique.jopt.JoptCliFactoryCommandNameTest::testCommandName_NoMatch()V	1433	1
io.bootique.jopt.JoptCliFactoryCommandNameTest::testCommandName_Match()V	1508	1
io.bootique.jopt.JoptCliFactoryCommandNameTest::testCommandName_MultipleMatches()V	899	0
io.bootique.jopt.JoptCliTest::testStringsFor_Missing()V	861	19
io.bootique.jopt.JoptCliTest::testCommandName()V	820	0
io.bootique.help.ConsoleAppenderTest::testConstructorMinWidth()V	816	0
io.bootique.help.ConsoleAppenderTest::testPrintln()V	822	0
io.bootique.help.ConsoleAppenderTest::testPrintln_Offset()V	824	0
io.bootique.help.ConsoleAppenderTest::testPrintln_Long()V	822	0
io.bootique.help.ConsoleAppenderTest::testFoldPrintln()V	840	0
io.bootique.help.ConsoleAppenderTest::testFoldPrintln_Long()V	840	0
io.bootique.help.ConsoleAppenderTest::testFoldPrintln_Long_NoSpace()V	840	0
io.bootique.help.ConsoleAppenderTest::testFoldPrintln_OffsetInt()V	842	0
io.bootique.help.ConsoleAppenderTest::testFoldPrintln_OffsetString()V	841	0
io.bootique.help.ConsoleAppenderTest::testFoldPrintln_FullLine()V	842	0
io.bootique.help.config.ConfigSectionGeneratorTest::testVisitObjectConfig()V	836	0
io.bootique.help.config.ConfigSectionGeneratorTest::testVisitListOfValues()V	841	0
io.bootique.help.config.ConfigSectionGeneratorTest::testVisitListOfObjects()V	842	0
io.bootique.help.config.ConfigSectionGeneratorTest::testVisitMapOfValues()V	860	0
io.bootique.help.config.ConfigSectionGeneratorTest::testVisitObjectWithMapOfObjects()V	844	0
io.bootique.help.config.ConfigSectionGeneratorTest::testVisitMapOfMapsOfObjects()V	843	0
io.bootique.help.config.ConfigSectionGeneratorTest::testVisitMapOfListsOfObjects()V	848	0
io.bootique.help.config.ConfigSectionGeneratorTest::testVisitObjectConfig_Inheritance()V	842	0
io.bootique.help.config.ConfigSectionGeneratorTest::testVisitMapConfig_ValueInheritance()V	866	0
io.bootique.help.config.ConfigSectionGeneratorTest::testVisitMapConfig_ValueInheritance_AbstractProps()V	866	0
io.bootique.help.config.ConfigSectionGeneratorTest::testTypeLabel()V	886	0
io.bootique.help.config.ConfigSectionGeneratorFoldingTest::testVisitObjectConfig()V	835	0
io.bootique.help.config.DefaultConfigHelpGeneratorTest::testGenerate_Empty()V	827	0
io.bootique.help.config.DefaultConfigHelpGeneratorTest::testGenerate_Name()V	839	0
io.bootique.help.config.DefaultConfigHelpGeneratorTest::testGenerate_Name_MultiModule()V	839	0
io.bootique.help.config.DefaultConfigHelpGeneratorTest::testGenerate_Name_MultiModule_Sorting()V	839	0
io.bootique.help.config.DefaultConfigHelpGeneratorTest::testGenerate_Name_Description()V	841	0
io.bootique.help.config.DefaultConfigHelpGeneratorTest::testGenerate_Configs()V	852	0
io.bootique.help.DefaultHelpGeneratorTest::testGenerate_Name()V	834	0
io.bootique.help.DefaultHelpGeneratorTest::testGenerate_Name_Description()V	836	0
io.bootique.help.DefaultHelpGeneratorTest::testGenerate_Name_Options()V	849	0
io.bootique.help.DefaultHelpGeneratorTest::testGenerate_Name_ShortOptions()V	849	0
io.bootique.help.DefaultHelpGeneratorTest::testGenerate_Name_Options_ShortNameConflict()V	844	0
io.bootique.help.DefaultHelpGeneratorTest::testGenerate_Name_Options_ShortAliases()V	846	0
io.bootique.help.DefaultHelpGeneratorTest::testGenerate_Name_Command_ShortAliases()V	847	0
io.bootique.help.DefaultHelpGeneratorTest::testGenerate_TrimSpace()V	844	0
io.bootique.help.DefaultHelpGeneratorTest::testGenerate_LineFolding()V	846	0
io.bootique.help.DefaultHelpGeneratorTest::testGenerate_LineFolding_VeryLongWord()V	844	0
io.bootique.help.DefaultHelpGeneratorTest::testGenerate_LineFolding_BigDisplay()V	846	0
io.bootique.help.DefaultHelpGeneratorTest::testGenerate_EnvironmentSection()V	842	0
io.bootique.jackson.ZoneOffSetDeserializerIT::testDeserialization01()V	1167	0
io.bootique.jackson.ZoneOffSetDeserializerIT::testDeserialization02()V	1170	0
io.bootique.jackson.ZoneOffSetDeserializerIT::testDeserialization03()V	1168	0
io.bootique.jackson.ZoneOffSetDeserializerIT::testDeserialization04()V	1161	0
io.bootique.jackson.ZoneOffSetDeserializerIT::testDeserializationWithTypeInfo01()V	1206	0
io.bootique.jackson.DateDeserializerIT::testDeserialize()V	1382	0
io.bootique.jackson.YearMonthDeserializerIT::testDeserialization_Value1()V	1165	0
io.bootique.jackson.YearMonthDeserializerIT::testDeserialization_Value2()V	1165	0
