<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Help()>/io.bootique.command.Command.run/0	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Help()>	153	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Help()>/$stack29
<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Help()>/io.bootique.command.Command.run/1	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Help()>	154	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Help()>/$stack34
<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Help()>/io.bootique.command.Command.run/2	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Help()>	155	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_Help()>/$stack38
<io.bootique.run.DefaultRunnerTest: void testRun_NullName_NoFallback()>/io.bootique.command.Command.run/0	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_NoFallback()>	169	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_NoFallback()>/$stack24
<io.bootique.run.DefaultRunnerTest: void testRun_NullName_NoFallback()>/io.bootique.command.Command.run/1	<io.bootique.command.Command: io.bootique.command.CommandOutcome run(io.bootique.cli.Cli)>	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_NoFallback()>	170	<io.bootique.run.DefaultRunnerTest: void testRun_NullName_NoFallback()>/$stack29
<io.bootique.run.DefaultRunnerTest: io.bootique.command.CommandOutcome run(java.util.Optional,java.util.Optional,io.bootique.command.Command[])>/io.bootique.command.ExecutionPlanBuilder.prepareForExecution/0	<io.bootique.command.ExecutionPlanBuilder: io.bootique.command.Command prepareForExecution(io.bootique.command.Command)>	<io.bootique.run.DefaultRunnerTest: io.bootique.command.CommandOutcome run(java.util.Optional,java.util.Optional,io.bootique.command.Command[])>	204	<io.bootique.run.DefaultRunnerTest: io.bootique.command.CommandOutcome run(java.util.Optional,java.util.Optional,io.bootique.command.Command[])>/executionPlanBuilder#_203
<io.bootique.jopt.JoptCliTest: void testStringsFor_Missing()>/joptsimple.OptionSet.valueOf/0	<joptsimple.OptionSet: java.lang.Object valueOf(java.lang.String)>	<io.bootique.jopt.JoptCliTest: void testStringsFor_Missing()>	45	<io.bootique.jopt.JoptCliTest: void testStringsFor_Missing()>/$stack2
<io.bootique.terminal.ExternalCommandTerminal: java.lang.Object runCommand(java.lang.String[],java.util.function.Function)>/io.bootique.log.BootLogger.trace/0	<io.bootique.log.BootLogger: void trace(java.util.function.Supplier)>	<io.bootique.terminal.ExternalCommandTerminal: java.lang.Object runCommand(java.lang.String[],java.util.function.Function)>	62	<io.bootique.terminal.ExternalCommandTerminal: java.lang.Object runCommand(java.lang.String[],java.util.function.Function)>/$stack6
<io.bootique.terminal.ExternalCommandTerminal: java.lang.Object runCommandWithExceptions(java.lang.String[],java.util.function.Function)>/io.bootique.log.BootLogger.trace/0	<io.bootique.log.BootLogger: void trace(java.util.function.Supplier)>	<io.bootique.terminal.ExternalCommandTerminal: java.lang.Object runCommandWithExceptions(java.lang.String[],java.util.function.Function)>	75	<io.bootique.terminal.ExternalCommandTerminal: java.lang.Object runCommandWithExceptions(java.lang.String[],java.util.function.Function)>/$stack24
<io.bootique.terminal.ExternalCommandTerminal: java.lang.Object runCommandWithExceptions(java.lang.String[],java.util.function.Function)>/io.bootique.log.BootLogger.trace/1	<io.bootique.log.BootLogger: void trace(java.util.function.Supplier)>	<io.bootique.terminal.ExternalCommandTerminal: java.lang.Object runCommandWithExceptions(java.lang.String[],java.util.function.Function)>	81	<io.bootique.terminal.ExternalCommandTerminal: java.lang.Object runCommandWithExceptions(java.lang.String[],java.util.function.Function)>/$stack22
<io.bootique.jopt.JoptCli: boolean hasOption(java.lang.String)>/joptsimple.OptionSet.has/0	<joptsimple.OptionSet: boolean has(java.lang.String)>	<io.bootique.jopt.JoptCli: boolean hasOption(java.lang.String)>	51	<io.bootique.jopt.JoptCli: boolean hasOption(java.lang.String)>/$stack2
<io.bootique.jopt.JoptCli: java.util.List optionStrings(java.lang.String)>/joptsimple.OptionSet.valuesOf/0	<joptsimple.OptionSet: java.util.List valuesOf(java.lang.String)>	<io.bootique.jopt.JoptCli: java.util.List optionStrings(java.lang.String)>	56	<io.bootique.jopt.JoptCli: java.util.List optionStrings(java.lang.String)>/$stack2
<io.bootique.ConfigModuleTest: void testConfigConfig()>/io.bootique.config.ConfigurationFactory.config/0	<io.bootique.config.ConfigurationFactory: java.lang.Object config(java.lang.Class,java.lang.String)>	<io.bootique.ConfigModuleTest: void testConfigConfig()>	49	<io.bootique.ConfigModuleTest: void testConfigConfig()>/f#_48
