Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.maven.project.PomConstructionTest::testParentPomPackagingMustBePom()V	824	0
org.apache.maven.project.PomConstructionTest::testManagedPluginConfigurationAppliesToImplicitPluginsIntroducedByPackaging()V	830	0
org.apache.maven.project.PomConstructionTest::testDefaultPluginsExecutionContributedByPackagingExecuteBeforeUserDefinedExecutions()V	837	0
org.apache.maven.project.PomConstructionTest::testPluginDeclarationsRetainPomOrderAfterInjectionOfDefaultPlugins()V	839	2
org.apache.maven.project.PomConstructionTest::testPluginOrderAfterMergingWithInheritedPlugins()V	831	0
org.apache.maven.project.PomConstructionTest::testPluginOrderAfterMergingWithInjectedPlugins()V	831	0
org.apache.maven.project.PomConstructionTest::testProjectArtifactIdIsNotInheritedButMandatory()V	824	0
org.apache.maven.project.ProjectBuilderTest::testSystemScopeDependencyIsPresentInTheCompileClasspathElements()V	767	0
org.apache.maven.project.ProjectBuilderTest::testBuildFromModelSource()V	667	0
org.apache.maven.project.ProjectBuilderTest::testVersionlessManagedDependency()V	663	0
org.apache.maven.project.ProjectBuilderTest::testResolveDependencies()V	673	0
org.apache.maven.project.ProjectBuilderTest::testDontResolveDependencies()V	673	0
org.apache.maven.project.ProjectBuilderTest::testReadModifiedPoms()V	1051	0
org.apache.maven.project.ProjectBuilderTest::testReadErroneousMavenProjectContainsReference()V	680	6
org.apache.maven.project.ProjectBuilderTest::testReadInvalidPom()V	690	0
org.apache.maven.project.ProjectBuilderTest::testReadParentAndChildWithRegularVersionSetParentFile()V	790	0
org.apache.maven.project.ProjectBuilderTest::testBuildProperties()V	772	0
org.apache.maven.project.ProjectModelResolverTest::testResolveParentThrowsUnresolvableModelExceptionWhenNotFound()V	983	0
org.apache.maven.project.ProjectModelResolverTest::testResolveParentThrowsUnresolvableModelExceptionWhenNoMatchingVersionFound()V	974	0
org.apache.maven.project.ProjectModelResolverTest::testResolveParentThrowsUnresolvableModelExceptionWhenUsingRangesWithoutUpperBound()V	974	0
org.apache.maven.project.ProjectModelResolverTest::testResolveParentSuccessfullyResolvesExistingParentWithoutRange()V	978	0
org.apache.maven.project.ProjectModelResolverTest::testResolveParentSuccessfullyResolvesExistingParentUsingHighestVersion()V	978	0
org.apache.maven.project.ProjectModelResolverTest::testResolveDependencyThrowsUnresolvableModelExceptionWhenNotFound()V	983	0
org.apache.maven.project.ProjectModelResolverTest::testResolveDependencyThrowsUnresolvableModelExceptionWhenNoMatchingVersionFound()V	974	0
org.apache.maven.project.ProjectModelResolverTest::testResolveDependencyThrowsUnresolvableModelExceptionWhenUsingRangesWithoutUpperBound()V	974	0
org.apache.maven.project.ProjectModelResolverTest::testResolveDependencySuccessfullyResolvesExistingDependencyWithoutRange()V	978	0
org.apache.maven.project.ProjectModelResolverTest::testResolveDependencySuccessfullyResolvesExistingDependencyUsingHighestVersion()V	978	0
org.apache.maven.project.DefaultMavenProjectBuilderTest::setUp()V	464	0
org.apache.maven.project.DefaultMavenProjectBuilderTest::tearDown()V	525	0
org.apache.maven.project.DefaultMavenProjectBuilderTest::testBuildFromMiddlePom()V	900	0
org.apache.maven.project.DefaultMavenProjectBuilderTest::testDuplicatePluginDefinitionsMerged()V	917	0
org.apache.maven.project.DefaultMavenProjectBuilderTest::testFutureModelVersion()V	903	0
org.apache.maven.project.DefaultMavenProjectBuilderTest::testPastModelVersion()V	903	0
