Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.ibatis.submitted.results_id.ResultsIdTest::setUp()V	1926	4
org.apache.ibatis.submitted.results_id.ResultsIdTest::testNamingResults()V	820	0
org.apache.ibatis.submitted.results_id.ResultsIdTest::testResultsOnlyForNaming()V	820	0
org.apache.ibatis.submitted.results_id.ResultsIdTest::testReuseNamedResultsFromAnotherMapper()V	823	5
org.apache.ibatis.submitted.results_id.ResultsIdTest::testReuseNamedResultsFromXmlMapper()V	820	0
org.apache.ibatis.submitted.empty_row.ReturnInstanceForEmptyRowTest::setUp()V	1926	4
org.apache.ibatis.submitted.empty_row.ReturnInstanceForEmptyRowTest::testCollection()V	825	2
org.apache.ibatis.submitted.lazyload_common_property.CommonPropertyLazyLoadTest::testLazyLoadWithNoAncestor()V	7	0
org.apache.ibatis.submitted.lazyload_common_property.CommonPropertyLazyLoadTest::testLazyLoadWithFirstAncestor()V	8	0
org.apache.ibatis.submitted.lazyload_common_property.CommonPropertyLazyLoadTest::testLazyLoadWithAllAncestors()V	8	0
org.apache.ibatis.submitted.lazyload_common_property.CommonPropertyLazyLoadTest::testLazyLoadSkipFirstAncestor()V	7	0
org.apache.ibatis.submitted.valueinmap.ValueInMapTest::setUp()V	1926	4
org.apache.ibatis.submitted.orphan_result_maps.OrphanResultMapTest::testSeparateResultMaps()V	1797	3
org.apache.ibatis.submitted.orphan_result_maps.OrphanResultMapTest::testNestedResultMap()V	1792	3
org.apache.ibatis.submitted.array_type_handler.ArrayTypeHandlerTest::setUp()V	1926	4
org.apache.ibatis.submitted.count.CountTest::setUp()V	1926	4
org.apache.ibatis.submitted.count.CountTest::testCount()V	819	0
org.apache.ibatis.submitted.multiple_discriminator.MultipleDiscriminatorTest::testMultipleDiscriminator()V	824	1
org.apache.ibatis.submitted.multiple_discriminator.MultipleDiscriminatorTest::testMultipleDiscriminator2()V	824	1
org.apache.ibatis.submitted.multiple_discriminator.MultipleDiscriminatorTest::testMultipleDiscriminatorLoop()V	54	0
org.apache.ibatis.submitted.cglib_lazy_error.CglibNPELazyTest::testNoParent()V	47	0
org.apache.ibatis.submitted.cglib_lazy_error.CglibNPELazyTest::testAncestorSelf()V	826	0
org.apache.ibatis.submitted.cglib_lazy_error.CglibNPELazyTest::testAncestorAfterQueryingParents()V	826	0
org.apache.ibatis.submitted.cglib_lazy_error.CglibNPELazyTest::testGrandParent()V	826	0
org.apache.ibatis.submitted.cglib_lazy_error.CglibNPELazyTest::testAncestor()V	827	0
org.apache.ibatis.submitted.cglib_lazy_error.CglibNPETest::testNoParent()V	47	0
org.apache.ibatis.submitted.cglib_lazy_error.CglibNPETest::testAncestorSelf()V	826	0
org.apache.ibatis.submitted.cglib_lazy_error.CglibNPETest::testGrandParent()V	825	0
