Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
br.com.caelum.vraptor.converter.LocaleBasedCalendarConverterTest::shouldBeAbleToConvertEmpty()V	666	0
br.com.caelum.vraptor.converter.LocaleBasedCalendarConverterTest::shouldBeAbleToConvertNull()V	666	0
br.com.caelum.vraptor.converter.LocaleBasedCalendarConverterTest::shouldThrowExceptionWhenUnableToParse()V	684	0
br.com.caelum.vraptor.converter.PrimitiveShortConverterTest::setup()V	1066	0
br.com.caelum.vraptor.converter.PrimitiveShortConverterTest::shouldBeAbleToConvertNumbers()V	56	0
br.com.caelum.vraptor.converter.PrimitiveShortConverterTest::shouldComplainAboutInvalidNumber()V	57	0
br.com.caelum.vraptor.converter.PrimitiveShortConverterTest::shouldConvertToZeroWhenNull()V	56	0
br.com.caelum.vraptor.converter.PrimitiveShortConverterTest::shouldConvertToZeroWhenEmpty()V	56	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedDoubleConverterTest::setup()V	1302	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedDoubleConverterTest::shouldBeAbleToConvertWithPTBR()V	116	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedDoubleConverterTest::shouldBeAbleToConvertWithENUS()V	116	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedDoubleConverterTest::shouldUseTheDefaultLocale()V	125	3
br.com.caelum.vraptor.converter.l10n.LocaleBasedDoubleConverterTest::shouldBeAbleToConvertEmpty()V	98	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedDoubleConverterTest::shouldBeAbleToConvertNull()V	98	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedDoubleConverterTest::shouldThrowExceptionWhenUnableToParse()V	118	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedFloatConverterTest::setup()V	1302	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedFloatConverterTest::shouldBeAbleToConvertWithPTBR()V	116	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedFloatConverterTest::shouldBeAbleToConvertWithENUS()V	116	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedFloatConverterTest::shouldUseTheDefaultLocale()V	125	3
br.com.caelum.vraptor.converter.l10n.LocaleBasedFloatConverterTest::shouldBeAbleToConvertEmpty()V	98	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedFloatConverterTest::shouldBeAbleToConvertNull()V	98	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedFloatConverterTest::shouldThrowExceptionWhenUnableToParse()V	118	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedBigDecimalConverterTest::setup()V	1302	0
br.com.caelum.vraptor.converter.l10n.LocaleBasedBigDecimalConverterTest::shouldBeAbleToConvertWithPTBR()V	115	0
