Test-related Method	Total # Nodes Reachable From Method	# Nodes Reachable From Mock Invocations
org.apache.commons.collections4.functors.ComparatorPredicateTest::compareGreaterOrEqual()V	12	0
org.apache.commons.collections4.functors.ComparatorPredicateTest::compareLessOrEqual()V	12	0
org.apache.commons.collections4.functors.AbstractClosureTest::closureSanityTests()V	6	0
org.apache.commons.collections4.functors.AbstractMockPredicateTest::createVerifyList()V	1	0
org.apache.commons.collections4.functors.AbstractMockPredicateTest::verifyPredicates()V	72	2
org.apache.commons.collections4.functors.CatchAndRethrowClosureTest::testThrowingClosure()V	11	0
org.apache.commons.collections4.functors.AbstractAnyAllOnePredicateTest::singleElementArrayToGetInstance()V	125	0
org.apache.commons.collections4.functors.AbstractAnyAllOnePredicateTest::singletonCollectionToGetInstance()V	126	0
org.apache.commons.collections4.functors.EqualPredicateTest::testNullArgumentEqualsNullPredicate()V	31	0
org.apache.commons.collections4.functors.EqualPredicateTest::objectFactoryUsesEqualsForTest()V	11	0
org.apache.commons.collections4.functors.EqualPredicateTest::testPredicateTypeCanBeSuperClassOfObject()V	9	0
org.apache.commons.collections4.comparators.ReverseComparatorTest::testSerializeDeserializeThenCompare()V	1097	0
org.apache.commons.collections4.comparators.TransformingComparatorTest::testEquals()V	9	0
org.apache.commons.collections4.comparators.FixedOrderComparatorTest::testConstructorPlusAdd()V	58	0
org.apache.commons.collections4.comparators.FixedOrderComparatorTest::testArrayConstructor()V	53	0
org.apache.commons.collections4.comparators.FixedOrderComparatorTest::testListConstructor()V	55	0
org.apache.commons.collections4.comparators.FixedOrderComparatorTest::testAddAsEqual()V	34	0
org.apache.commons.collections4.comparators.FixedOrderComparatorTest::testLock()V	36	0
org.apache.commons.collections4.comparators.FixedOrderComparatorTest::testUnknownObjectBehavior()V	89	0
org.apache.commons.collections4.comparators.ComparatorChainTest::testNoopComparatorChain()V	39	0
org.apache.commons.collections4.comparators.ComparatorChainTest::testBadNoopComparatorChain()V	28	0
org.apache.commons.collections4.comparators.ComparatorChainTest::testListComparatorChain()V	31	0
org.apache.commons.collections4.comparators.ComparatorChainTest::testBadListComparatorChain()V	28	0
org.apache.commons.collections4.comparators.ComparatorChainTest::testComparatorChainOnMinvaluedCompatator()V	36	0
org.apache.commons.collections4.comparators.BooleanComparatorTest::testConstructors()V	9	0
org.apache.commons.collections4.comparators.BooleanComparatorTest::testStaticFactoryMethods()V	12	0
org.apache.commons.collections4.comparators.BooleanComparatorTest::testEqualsCompatibleInstance()V	5	0
org.apache.commons.collections4.comparators.AbstractComparatorTest::testEmptyListSort()V	55	0
org.apache.commons.collections4.comparators.AbstractComparatorTest::testReverseListSort()V	64	0
org.apache.commons.collections4.comparators.AbstractComparatorTest::testRandomListSort()V	69	0
org.apache.commons.collections4.comparators.AbstractComparatorTest::testComparatorIsSerializable()V	2	0
org.apache.commons.collections4.comparators.AbstractComparatorTest::testComparatorCompatibility()V	1033	0
org.apache.commons.collections4.splitmap.TransformedSplitMapTest::testTransformedMap()V	61	0
org.apache.commons.collections4.splitmap.TransformedSplitMapTest::testMapIterator()V	59	0
org.apache.commons.collections4.splitmap.TransformedSplitMapTest::testEmptyMap()V	987	0
org.apache.commons.collections4.splitmap.TransformedSplitMapTest::testFullMap()V	992	0
org.apache.commons.collections4.AbstractArrayListTest::testNewArrayList()V	24	0
org.apache.commons.collections4.AbstractArrayListTest::testSearch()V	35	0
org.apache.commons.collections4.PredicateUtilsTest::testExceptionPredicate()V	36	2
org.apache.commons.collections4.PredicateUtilsTest::testIsNotNullPredicate()V	44	4
org.apache.commons.collections4.PredicateUtilsTest::testIdentityPredicate()V	46	5
org.apache.commons.collections4.PredicateUtilsTest::testTruePredicate()V	43	4
org.apache.commons.collections4.PredicateUtilsTest::testFalsePredicate()V	43	4
org.apache.commons.collections4.PredicateUtilsTest::testNotPredicate()V	41	4
org.apache.commons.collections4.PredicateUtilsTest::testNotPredicateEx()V	3	0
org.apache.commons.collections4.PredicateUtilsTest::testAndPredicate()V	39	4
org.apache.commons.collections4.PredicateUtilsTest::testAndPredicateEx()V	3	0
org.apache.commons.collections4.PredicateUtilsTest::testAllPredicate()V	60	22
org.apache.commons.collections4.PredicateUtilsTest::testAllPredicateEx1()V	23	0
org.apache.commons.collections4.PredicateUtilsTest::testAllPredicateEx2()V	23	0
org.apache.commons.collections4.PredicateUtilsTest::testAllPredicateEx3()V	23	0
org.apache.commons.collections4.PredicateUtilsTest::testAllPredicateEx4()V	25	0
org.apache.commons.collections4.PredicateUtilsTest::testAllPredicateEx5()V	26	0
org.apache.commons.collections4.PredicateUtilsTest::testAllPredicateEx6()V	26	2
org.apache.commons.collections4.PredicateUtilsTest::testOrPredicate()V	39	4
org.apache.commons.collections4.PredicateUtilsTest::testOrPredicateEx()V	3	0
org.apache.commons.collections4.PredicateUtilsTest::testAnyPredicate()V	61	22
org.apache.commons.collections4.PredicateUtilsTest::testAnyPredicateEx1()V	23	0
org.apache.commons.collections4.PredicateUtilsTest::testAnyPredicateEx2()V	23	0
org.apache.commons.collections4.PredicateUtilsTest::testAnyPredicateEx3()V	23	0
